代码,名称,最新,涨跌幅,成交量(手),成交金额,换手率,正股名称,正股价格,正股涨跌幅,转股价格,转股价值,转股溢价率,纯债价值,纯债YTM,平价底价溢价率,权证价格,有条件赎回价,到期赎回价,有条件回售价,剩余期限,到期日期,债券余额(亿元),主体评级,债券评级,类型,双低,pure_debt_prem,debt_rank,equity_rank,rank,自定义rank,,
110048.SH,福能转债,138.5,0.0078,31669000,43507580,0.016242896,福能股份,11.15,0.0054,8.12,137.3153,0.0086,100.1386,-5.7566,0.372,38.414,inf,109,inf,3.4466,20241207,1949713900,AA+,AA+,偏股型,139.36,0.383083047,270,48,318,270,,
127023.SZ,华菱转2,131.2,0.0402,286177700,376846360,0.164384359,华菱钢铁,6.53,0.0398,4.97,131.3883,-0.0014,90.6882,-3.2836,0.4512,40.662,100.15,106,inf,5.3233,20261023,1740905900,AAA,AAA,偏股型,131.06,0.446715229,301,18,319,301,,
123078.SZ,飞凯转债,126.647,0.0172,715912500,928072739,0.87297332,飞凯材料,19.66,0.0413,15.56,126.3496,0.0024,90.7323,-1.7631,0.3932,35.96,inf,110,100.078,5.4192,20261127,820085200,AA,AA,偏股型,126.887,0.395831473,277,42,319,277,,
113036.SH,宁建转债,102.18,0.0001,3942000,4029180,0.007300662,宁波建工,3.78,-0.0026,4.76,79.4118,0.2867,94.2887,2.8435,-0.1574,7.933,inf,112,inf,5.0247,20260706,539951000,AA,AA,平衡型,130.85,0.083692956,72,252,324,72,,
110063.SH,鹰19转债,119.08,-0.0035,8251000,9820204,0.004471646,山鹰国际,3.52,0.0057,3.3,106.6667,0.1164,98.0721,-0.6153,0.088,21.039,inf,111,100.17,4.463,20241121,1845182000,AA+,AA+,平衡型,130.72,0.21420873,172,154,326,172,,
113037.SH,紫银转债,103.25,0.0067,69622000,71848494,0.01547235,紫金银行,3.71,0.0082,4.65,79.7849,0.2941,95.471,2.3375,-0.1639,7.823,inf,110,inf,5.0712,20260723,4499769000,AA+,AA+,平衡型,132.66,0.08148024,69,257.5,326.5,69,,
128134.SZ,鸿路转债,138.61,0.018,61202800,83791220,0.033555499,鸿路钢构,60.6,0.0216,43.51,139.2783,-0.0048,91.2517,-3.5132,0.5271,47.406,inf,110,inf,5.2849,20261009,1823927600,AA,AA,偏股型,138.13,0.5189854,318,10,328,318,,
123089.SZ,九洲转2,118.851,-0.0153,32860300,39096255,0.0657206,九洲集团,9.45,-0.0258,8,118.125,0.0061,84.8921,0.3334,0.3922,34,inf,115,inf,5.4849,20261221,500000000,AA-,AA-,偏股型,119.461,0.400024266,282,46,328,282,,
128021.SZ,兄弟转债,106.688,-0.0027,2552000,2719558,0.009618505,兄弟科技,4.26,0,5.19,82.0809,0.2998,99.5073,0.8238,-0.175,7.19,inf,106,inf,2.4219,20231128,265321900,AA,AA,平衡型,136.668,0.072162545,65,264,329,65,,
113046.SH,金田转债,102.41,0.0045,12723000,13009799,0.008482,金田铜业,8.85,0.0184,10.75,82.3256,0.244,91.5795,2.0599,-0.1008,10.853,inf,110,inf,5.7342,20270322,1500000000,AA+,AA+,平衡型,126.81,0.118263367,95,236,331,95,,
113541.SH,荣晟转债,122.66,-0.0011,6359000,7794902,0.038958206,荣晟环保,12.98,0.0008,10.84,119.7417,0.0244,89.1848,-1.6046,0.3439,33.563,inf,110,inf,4.0712,20250723,163226200,AA-,AA-,偏股型,125.1,0.375346472,268,63,331,268,,
113542.SH,好客转债,109.45,0.0024,2002000,2190038,0.003321581,好莱客,14.37,0,16.14,89.0335,0.2293,96.77,1.2188,-0.0791,12.764,inf,110,inf,4.0959,20250801,602725000,AA,AA,平衡型,132.38,0.131032345,106,227,333,106,,
128119.SZ,龙大转债,121.536,0.0188,12924000,15644131,0.013658811,龙大肉食,10.4,0.0297,9.38,110.8742,0.0962,96.4493,-0.223,0.1501,25.135,inf,115,inf,5.0438,20260713,946202400,AA,AA,平衡型,131.156,0.260102458,205,128,333,205,,
128141.SZ,旺能转债,112.252,0.0015,20779800,23278638,0.014843187,旺能环境,16.22,-0.0073,15.97,101.5654,0.1052,90.3419,0.4667,0.1247,21.95,inf,110,inf,5.474,20261217,1399955400,AA,AA,平衡型,122.772,0.242524233,195,140,335,195,,
110061.SH,川投转债,128.82,0.0034,845000,1088792,0.000213252,川投能源,11.95,0.0034,9.58,124.739,0.0327,94.8808,-3.4468,0.316,34.032,inf,106,inf,4.3753,20251111,3962447100,AAA,AAA,偏股型,132.09,0.357703561,263,73,336,263,,
