secID,tickerBond,secShortNameBond,tickerEqu,secShortNameEqu,tradeDate,totalSize,remainSize,closePriceBond,convPrice,closePriceEqu,exerPar,chgPct,chgPct7,bondPremRatio,debtPuredebtRatio,puredebtPremRatio,evaluatePrice,premRatio,optionPrice,duration,volatiliry,strikePrice,accrualEndDate
113527.XSHG,113527,维格转债,603518,锦泓集团,2020-01-03,7.46,7.4591199999999995,92.59,10.52,7.17,9.321,-0.000863,0.0030329999999999997,35.8503,99.920663,-7.336483,101.63164473721164,0.9110351430345286,1.7109817372116418,4.057534246575343,0.28742557993331075,10.52,2024-01-23
113026.XSHG,113026,核能转债,601985,中国核电,2020-01-03,78.0,77.998921,110.31,6.2,5.09,6.617000000000001,0.012762,0.024044,34.3658,91.60847199999999,20.414627,93.0726626842016,1.1852030104079563,1.4641906842016088,4.282191780821917,0.20248944555210774,6.2,2024-04-14
113519.XSHG,113519,长久转债,603569,长久物流,2020-01-03,7.0,6.969123,112.98,11.85,10.62,13.806,0.005966,0.031592,26.0652,100.250454,12.697744,104.60389606299279,1.0800744929420516,4.353442062992785,3.8438356164383563,0.39663911274608304,11.85,2023-11-06
123024.XSHE,123024,岱勒转债,300700,岱勒新材,2020-01-03,2.1,2.098895,101.993,24.9,20.07,26.090999999999998,-0.003001,0.008833,26.5384,83.623537,21.966857,92.65302634275069,1.100805921035952,9.029489342750697,3.210958904109589,0.5601121575184742,24.9,2023-03-20
127003.XSHE,127003,海印转债,000861,海印股份,2020-01-03,11.11,9.415306,104.65,3.01,2.52,3.2760000000000002,0.002606,0.008509000000000001,24.9986,104.82821700000001,-0.170008,105.28289507290482,0.9939886239596037,0.45467807290481377,1.4273972602739726,0.3824942384402672,3.01,2021-06-07
113516.XSHG,113516,苏农转债,603323,苏农银行,2020-01-03,25.0,12.886425,114.39,5.67,5.32,6.916,0.000612,0.021339,21.9156,97.82436700000001,16.934055999999998,99.63883865743476,1.1480462994282858,1.8144716574347524,3.578082191780822,0.29551399350961366,5.67,2023-08-01
113502.XSHG,113502,嘉澳转债,603822,嘉澳环保,2020-01-03,1.85,1.84771,100.11,45.04,27.91,36.283,0.002805,0.018828,61.5533,96.653425,3.576258,101.9741918306691,0.9817189840174008,5.320766830669103,2.852054794520548,0.38519523444611825,45.04,2022-11-09
113008.XSHG,113008,电气转债,601727,上海电气,2020-01-03,60.0,44.68165,116.4,5.13,5.02,6.526,0.00043,0.017571,18.9505,104.743927,11.128161,104.8883539626901,1.1097514223686331,0.144426962690106,0.07945205479452055,0.30316411456503223,5.13,2020-02-01
123023.XSHE,123023,迪森转债,300335,迪森股份,2020-01-10,6.0,5.99991,103.50299999999999,7.19,5.93,7.709,-0.002025,0.01176,25.4952,94.423109,9.616175,96.53203178140139,1.0722140422195245,2.1089227814013913,4.191780821917808,0.3523541414543045,7.19,2024-03-19
128034.XSHE,128034,江银转债,002807,江阴银行,2020-01-10,20.0,17.583023999999998,113.06,4.68,4.59,5.9670000000000005,-0.0012369999999999998,-0.016613,15.2768,95.140086,18.835293,96.51960495373642,1.1713682422777392,1.379518953736423,3.043835616438356,0.2527592664176726,4.68,2023-01-25
123032.XSHE,123032,万里转债,300591,万里马,2020-01-10,1.8029,1.8029,107.505,6.92,6.68,,-0.011903,0.049669,11.3674,91.567451,17.405256,94.96276296248675,1.1320753171689815,3.3953119624867485,4.7534246575342465,0.4046683341206722,6.92,2024-10-10
113009.XSHG,113009,广汽转债,601238,广汽集团,2020-01-10,41.0558,25.52241039,117.0,14.41,12.22,15.886,-0.002558,0.0,37.968,102.617145,14.016035,103.89534037517987,1.1261332758283236,1.2781953751798836,1.0328767123287672,0.32193069713837474,14.41,2021-01-21
128044.XSHE,128044,岭南转债,002717,岭南股份,2020-01-10,6.6,6.593202000000001,113.755,5.92,5.99,7.787000000000001,0.018215000000000002,0.067821,12.4256,93.148482,22.122226,95.58647294522152,1.1900742489493306,2.437990945221517,3.591780821917808,0.3541822355793695,5.92,2023-08-13
113024.XSHG,113024,核建转债,601611,中国核建,2020-01-10,29.9625,29.961521,108.01,9.87,7.27,9.451,-0.00799,0.00409,46.638000000000005,91.688609,17.800893,93.82291988346053,1.1512112406452661,2.1343108834605293,4.243835616438356,0.3217714125897452,9.87,2024-04-07
